reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67.0,75.0,119.0,9,3,66,5,86.89352189999954,,86.87867860000006,86.89352189999954,87.89366599999994,87.89366599999994,87.89366599999994,88.1300696999997,t,0.23299779999979364,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
49.0,60.0,89.0,9,4,67,4,88.14342299999953,,88.13208589999977,88.14342299999953,89.14331159999983,89.14331159999983,89.14331159999983,89.39673570000014,t,0.23762389999956213,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
11.0,30.0,7.0,9,5,68,0,89.41010910000023,,89.39942580000024,89.41010910000023,90.4101399000001,90.4101399000001,90.4101399000001,90.67789059999996,t,0.25449359999947774,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
78.0,80.0,162.0,9,6,69,6,90.69327969999995,,90.67843979999998,90.69327969999995,91.69326730000012,91.69326730000012,91.69326730000012,91.9158496,l,0.21897730000000593,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
11.0,30.0,7.0,10,0,70,0,91.9264905,,91.91638349999994,91.9264905,92.92658500000016,92.92658500000016,92.92658500000016,93.16376369999944,l,0.23352689999956056,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
15.0,35.0,13.0,10,1,71,1,93.17646199999945,,93.16514730000017,93.17646199999945,94.17645949999951,94.17645949999951,94.17645949999951,94.41225589999976,t,0.22862549999990733,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
27.0,50.0,21.0,10,2,72,2,94.42644079999991,,94.41276719999951,94.42644079999991,95.42641189999995,95.42641189999995,95.42641189999995,95.57839400000012,t,0.15029430000049615,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
49.0,60.0,89.0,10,3,73,4,95.59299550000014,,95.5803777000001,95.59299550000014,96.59301439999945,96.59301439999945,96.59301439999945,96.862615,l,0.25099129999944125,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
78.0,80.0,162.0,10,4,74,6,96.8762655999999,,96.86416540000027,96.8762655999999,97.8762498999995,97.8762498999995,97.8762498999995,98.11083820000022,t,0.22684310000022379,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
67.0,75.0,119.0,10,5,75,5,98.12625709999975,,98.11135229999945,98.12625709999975,99.12630329999956,99.12630329999956,99.12630329999956,99.37935930000003,l,None,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
40.0,55.0,62.0,10,6,76,3,99.39276040000004,,99.38036089999969,99.39276040000004,100.3929777000003,100.3929777000003,100.3929777000003,100.66301930000009,t,0.2590364999996382,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
15.0,35.0,13.0,11,0,77,1,100.67591279999942,,100.66499639999984,100.67591279999942,101.67586279999978,101.67586279999978,101.67586279999978,101.79455319999943,l,0.11481389999971725,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
49.0,60.0,89.0,11,1,78,4,101.80930480000006,,101.7959192999997,101.80930480000006,102.79260629999953,102.79260629999953,102.80940779999946,103.09382039999946,l,0.2967947000006461,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
27.0,50.0,21.0,11,2,79,2,103.10927720000018,,103.09538599999996,103.10927720000018,104.10931989999972,104.10931989999972,104.10931989999972,104.27688330000001,t,0.15495569999984582,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
40.0,55.0,62.0,11,3,80,3,104.29254519999995,,104.27736319999985,104.29254519999995,105.29258279999976,105.29258279999976,105.29258279999976,105.52796560000024,t,0.23129400000016176,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
78.0,80.0,162.0,11,4,81,6,105.54242359999989,,105.52936049999971,105.54242359999989,106.54246059999969,106.54246059999969,106.54246059999969,106.76061349999964,t,0.2120108999997683,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
11.0,30.0,7.0,11,5,82,0,106.77793999999994,,106.76192850000007,106.77793999999994,107.77582439999969,107.77582439999969,107.79231340000024,108.02691959999993,t,0.2350680999998076,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
67.0,75.0,119.0,11,6,83,5,108.0421593000001,,108.02840639999977,108.0421593000001,109.04242479999994,109.04242479999994,109.04242479999994,109.31025450000016,l,0.26131440000062867,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
11.0,30.0,7.0,12,0,84,0,109.32550439999977,,109.31079039999986,109.32550439999977,110.32567019999988,110.32567019999988,110.32567019999988,110.5790678000003,t,0.23563560000002326,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
78.0,80.0,162.0,12,1,85,6,110.59199799999988,,110.57955130000028,110.59199799999988,111.59207479999986,111.59207479999986,111.59207479999986,111.72658609999962,t,0.12704029999986233,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
15.0,35.0,13.0,12,2,86,1,111.74205879999954,,111.72822050000013,111.74205879999954,112.74213400000008,112.74213400000008,112.74213400000008,113.01424529999986,t,0.2627756000001682,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
27.0,50.0,21.0,12,3,87,2,113.02510299999994,,113.01469829999951,113.02510299999994,114.02532019999944,114.02532019999944,114.02532019999944,114.22679909999988,t,0.18852389999938168,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
